cliente,total_facturado,factura_promedio,factura_max,factura_min,cantidad_facturas
Nancy Ariza Agudelo,2230318.0,185859.83333333334,242165.0,106437.0,12
Brayan Hernán Herrera Arango,2164429.0,180369.08333333334,291646.0,102551.0,12
Fabio Santiago Ramos,2091090.6,160853.12307692308,237732.0,63515.1,13
José Ochoa,2054135.4,128383.4625,235755.0,49656.0,16
Janeth Pérez Vásquez,2051598.2,157815.24615384615,279319.0,77250.8,13
José Rafael Ortega Murcia,2047736.9,186157.9,298457.0,90704.9,11
Alexandra Ortiz Aguirre,2003979.3,166998.275,296674.0,87183.8,12
Elena Díaz Betancur,1986345.9,124146.61875,243050.0,52054.4,16
José William Mejía,1959426.2,163285.51666666666,238252.0,78011.2,12
Cecilia Espitia Murillo,1913786.1,147214.3153846154,239895.0,70092.7,13
Eliecer Buitrago Paz,1892535.1,118283.44375,296758.0,38443.7,16
Beatriz Nancy Delgado Ramírez,1877023.0,170638.45454545456,285480.0,106298.0,11
Johanna Vanessa Mora,1843474.1,131676.72142857144,212963.0,68065.4,14
Eliecer Meza Chávez,1837710.1,108100.59411764707,199612.0,-121782.0,17
Daniela Yamile Hurtado,1811704.1,129407.43571428572,245341.0,60288.6,14
Patricia Paola Herrera,1803842.9,180384.28999999998,296993.0,62928.9,10
Fabio Sánchez Ramírez,1774602.7,177460.27,283723.0,95200.7,10
Luz Gladys Contreras Fernández,1768977.0,136075.15384615384,288653.0,55203.7,13
Óscar Andrade Castañeda,1747861.7,158896.5181818182,269942.0,52497.1,11
Cecilia Vargas,1732670.8,173267.08000000002,241740.0,96602.8,10
Luz Delgado Rivera,1732502.0,216562.75,293947.0,102634.0,8
David Alfredo Velandia,1694941.4,169494.13999999998,298959.0,63264.4,10
Germán Morales,1690288.0,211286.0,286715.0,169053.0,8
Yuly Liliana Jaimes Restrepo,1670945.7,119353.26428571428,236622.0,-96490.4,14
Luz Bastidas González,1633659.1,204207.3875,267284.0,44371.1,8
Alberto Ernesto Ardila Correa,1604240.1,145840.0090909091,233221.0,83028.6,11
Julia Marcela Caicedo Castro,1582049.9,158204.99,223308.0,95966.9,10
María Blanca Pacheco,1573362.0,196670.25,295338.0,101316.0,8
Luis Cuéllar Díaz,1564384.4,156438.44,249920.0,77863.4,10
Cristian Betancur,1555091.0,194386.375,290892.0,108076.0,8
Kelly Salamanca Serrano,1550033.6,193754.2,278337.0,99259.6,8
Yuly Nancy Arias Quintero,1548769.5,154876.95,253001.0,78624.2,10
Diego José Orozco Vásquez,1546835.2,140621.3818181818,278814.0,34514.0,11
Myriam Villamizar,1544368.6,171596.51111111112,265457.0,74051.6,9
Bibiana Hurtado,1540854.3,128404.52500000001,277440.0,-146439.0,12
Carolina Benítez Torres,1527777.0,190972.125,273013.0,136151.0,8
Ciro Sebastián Muñoz,1515810.0,216544.2857142857,287399.0,122544.0,7
Esperanza Luisa Gutiérrez,1512197.0,168021.88888888888,229740.0,134009.0,9
Luis Javier Peña López,1480088.6,134553.5090909091,199929.0,63227.4,11
Eduardo Domínguez,1479014.6,184876.825,263040.0,35668.6,8
Carmen Pérez Perea,1478655.9,147865.59,216102.0,72401.4,10
Gabriela Bautista Vega,1475250.9,163916.76666666666,236690.0,97986.1,9
Ana Gloria Contreras,1465389.8,146538.98,274174.0,52414.8,10
  Edna Morales  ,1444195.5,131290.5,222252.0,54929.1,11
Santos Luis López González,1430128.0,178766.0,230681.0,73174.0,8
Cecilia Carolina Guzmán,1426725.4,129702.30909090908,193569.0,50363.6,11
César Fernando Angarita Torres,1425188.0,237531.33333333334,289232.0,185108.0,6
María Cruz,1414676.5,141467.65,223546.0,82003.8,10
Yulieth Torres Díaz,1411193.0,176399.125,249822.0,100412.0,8
Enith Gamboa,1394771.0,139477.1,224084.0,83140.5,10
Arley Cruz,1382693.0,172836.625,232381.0,124728.0,8
Luz Camila Rodríguez Montoya,1382466.0,197495.14285714287,254995.0,126367.0,7
Liliana Moreno,1360085.8,170010.725,216769.0,86188.8,8
Javier Mauricio Córdoba Pérez,1345348.0,149483.11111111112,213406.0,114322.0,9
Enrique Carlos Valencia,1341619.3,167702.4125,250054.0,99917.3,8
Alejandro Herrera,1341044.7,191577.81428571427,292663.0,63550.1,7
Nohora Pinto García,1331719.0,147968.77777777778,179352.0,116891.0,9
